id,titulo,url,fecha_estreno,sinopsis,usuario,genero
FantasticBeasts,Fantastic Beasts: The Secrets of Dumbledore,https://m.media-amazon.com/images/M/MV5BOTNjNWRjZDUtYjU1OC00NGFmLWE2ZDktMzhhYmIwOTU4YjVmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg,4/15/2022,"El profesor Albus Dumbledore sabe que el poderoso mago oscuro Gellert Grindelwald se está moviendo para tomar el control del mundo mágico. Incapaz de detenerlo solo, le confía al magizoólogo Newt Scamander que dirija un intrépido equipo de magos, brujas y un valiente panadero muggle en una peligrosa misión, donde se encuentran con viejas y nuevas bestias y chocan con la creciente legión de seguidores de Grindelwald. Pero con tanto en juego, ¿cuánto tiempo puede permanecer Dumbledore al margen?",fd_x,Fantasia
TheUnbearable,The Unbearable Weight of Massive Talent,https://m.media-amazon.com/images/M/MV5BN2UxMzI1N2EtNmZkYi00M2RmLTliMDctZTlmN2ZlMGVmMjNmXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_FMjpg_UX1000_.jpg,4/22/2022,"Nicolas Cage, con problemas de liquidez, accede a hacer una aparición paga en la fiesta de cumpleaños de un superfanático multimillonario, pero en realidad es un informante de la CIA, ya que el fanático multimillonario es un capo de la droga y obtiene un papel en una película de Tarantino.",fd_x,Accion
Memory,Memory,https://m.media-amazon.com/images/M/MV5BNTI4OTQzMmItOTJiZS00NTc3LTkxNGYtZWQ2NGJiNjQ4NzQ2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_FMjpg_UX1000_.jpg,4/29/2022,Un asesino a sueldo descubre que se ha convertido en un objetivo después de que se niega a completar un trabajo para una peligrosa organización criminal. Una nueva versión de la película belga de 2003 'La memoria de un asesino'.,fd_x,Accion
DoctorStrange,Doctor Strange in the Multiverse of Madness,https://m.media-amazon.com/images/M/MV5BZDg5ZDg2MWQtM2ExNi00ZjEzLTgzMDQtZmJlYWEwYmM4ODUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UX1000_.jpg,5/6/2022,"Después de los eventos de Avengers: Endgame, el Dr. Stephen Strange continúa su investigación sobre Time Stone. Pero un viejo amigo convertido en enemigo busca destruir a todos los hechiceros de la Tierra, interfiriendo con el plan de Strange y provocando que desate un mal indescriptible.",fd_x,Accion
Firestarter,Firestarter,https://m.media-amazon.com/images/M/MV5BMWIzNzA4MmUtYTIzNy00Y2Q5LWIyM2YtZGRiYzM0ZWQzOTU2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,5/13/2022,Una joven trata de entender cómo obtuvo misteriosamente el poder de prender fuego a las cosas con su mente.,fd_x,Drama
Topgun2,Top Gun: Maverick,https://m.media-amazon.com/images/M/MV5BNTEyYTA5YWYtYmIxYS00NWRlLWExNjMtNjliZmVlZDgxNTBlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg,5/27/2022,"Después de más de treinta años de servicio como uno de los mejores aviadores de la Armada, Pete Mitchell está donde pertenece, forzando los límites como valiente piloto de pruebas y esquivando el avance de rango que lo dejaría en tierra.",fd_x,Accion
JurassicWorldDom,Jurassic World Dominion,https://m.media-amazon.com/images/M/MV5BMjQzZTA2MmEtNDcwYy00ZWE0LWFlODMtOWQ2MzRjNTgyYmVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,6/10/2022,Los dinosaurios se comen a tod@s :),fd_x,Accion
MrsHarris,Mrs. Harris Goes to Paris,https://m.media-amazon.com/images/M/MV5BMjM1ZjIyYzYtODRhYy00ZTc0LThhZjMtNzhmZGM3OWJkNzFkXkEyXkFqcGdeQXVyMjQ4NjAyOTY@._V1_FMjpg_UX1000_.jpg,7/22/2022,Una señora de la limpieza viuda en la década de 1950 en Londres se enamora locamente de un vestido de alta costura de Dior y decide que debe tener uno propio.,fd_x,Drama
SalemsLot,Salem's Lot,https://m.media-amazon.com/images/M/MV5BMGY2Mzk2NjQtMGYxMC00Y2Q1LWJiMDgtODJjMTgxN2UzYmI3XkEyXkFqcGdeQXVyMTI0MzcyMDk4._V1_FMjpg_UX1000_.jpg,9/9/2022,"Ben Mears, un escritor que pasó parte de su infancia en Jerusalem's Lot, Maine, también conocido como 'Salem's Lot, ha regresado después de veinticinco años para escribir un libro sobre la abandonada Casa Marsten, donde tuvo una mala experiencia como un niño. Pronto descubre que un antiguo mal también ha llegado a la ciudad y está convirtiendo a los residentes en vampiros. Jura detener la plaga de muertos vivientes y salvar la ciudad.",fd_x,Accion
SpiderVerse,Spider-Man: Across the Spider-Verse - Part One,https://m.media-amazon.com/images/M/MV5BZGRhNDE1YjYtOGUzMC00YjliLThiOTgtYTkwNmQwNDZjYjFhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,10/6/2022,"Miles Morales regresa para el próximo capítulo de la saga Spider-Verse ganadora de un Oscar®, una aventura épica que transportará a Spider-Man, el amigable vecindario de tiempo completo de Brooklyn, a través del Multiverso para unir fuerzas con Gwen Stacy y un nuevo equipo de Spider-Man. Personas que se enfrenten a un villano más poderoso que cualquier cosa que hayan conocido.",fd_x,Accion
